airline,from,to,day,month,year,age,gender,reason,stay,transit,connection,wait
Aeromar,TPQ,JFK,10,11,2016,10,undisclosed,On vacation/Pleasure,Home,Public Transportation,False,0
Alaska,PVR,GDL,16,6,2013,53,male,On vacation/Pleasure,Home,,True,527
Aeromexico,PDX,DEN,1,2,2021,29,undisclosed,Back Home,Home,,False,0
Lufthansa,JFK,GDL,11,5,2015,57,unspecified,Business/Work,Short-term homestay,,True,237
Aeromar,JFK,PDX,23,9,2021,72,female,Back Home,Home,,False,0
Aeromexico,DEN,GDL,23,6,2013,3,male,Business/Work,Hotel,,True,217
Volaris,SJC,IZT,10,9,2018,16,unspecified,Back Home,Home,,False,0
Aeromar,PVR,TPQ,18,7,2017,34,female,Business/Work,Hotel,,True,344
Volaris,TLC,PVR,15,4,2022,37,undisclosed,On vacation/Pleasure,Hotel,,True,284
Alaska,PVR,MTY,17,9,2019,85,female,Business/Work,Short-term homestay,Own car,False,0
Viva Aerobus,PVR,GDL,30,1,2022,1,female,On vacation/Pleasure,Short-term homestay,,True,311
Aeromar,SJC,JFK,2,12,2014,33,male,Business/Work,Short-term homestay,Public Transportation,False,0
Volaris,SJC,PVR,26,6,2022,11,undisclosed,Back Home,Home,Pickup,False,0
Aeromexico,PVR,IZT,19,12,2017,80,female,Back Home,Home,Mobility as a service,False,0
Alaska,LAX,TPQ,4,6,2021,80,male,On vacation/Pleasure,Hotel,Mobility as a service,False,0
Alaska,MTY,SJC,17,10,2019,73,male,Back Home,Home,,False,0
Lufthansa,DEN,TPQ,28,1,2015,77,female,Back Home,Home,Car rental,False,0
Volaris,IZT,LAX,5,6,2022,25,unspecified,Back Home,Home,Own car,False,0
Viva Aerobus,PVR,TLC,1,3,2016,10,unspecified,On vacation/Pleasure,Hotel,Pickup,False,0
Delta Airlines,MTY,SJC,12,9,2020,89,undisclosed,Business/Work,Friend/Family,Own car,False,0
Aeromar,PVR,SJC,16,6,2013,85,undisclosed,Business/Work,Friend/Family,,True,437
Lufthansa,LAX,GDL,18,10,2021,84,female,Business/Work,Friend/Family,,True,428
Aeromexico,MTY,DEN,20,7,2020,5,unspecified,Business/Work,Home,Public Transportation,False,0
Lufthansa,PDX,GDL,17,4,2013,17,unspecified,Business/Work,Short-term homestay,Pickup,False,0
Alaska,LAX,PVR,1,7,2014,59,female,On vacation/Pleasure,Hotel,,True,509
Aeromar,TPQ,MTY,31,7,2019,30,undisclosed,On vacation/Pleasure,Short-term homestay,Car rental,False,0
Delta Airlines,TLC,JFK,6,3,2016,61,female,Back Home,Home,,False,0
Viva Aerobus,LAX,MTY,30,1,2017,51,male,On vacation/Pleasure,Hotel,Own car,False,0
Aeromar,IZT,SJC,15,12,2017,58,unspecified,Business/Work,Friend/Family,,True,445
Aeromexico,MTY,DEN,29,3,2023,22,unspecified,On vacation/Pleasure,Short-term homestay,,True,162
Delta Airlines,PVR,IZT,18,8,2021,76,unspecified,On vacation/Pleasure,Home,,True,533
Lufthansa,TLC,TPQ,3,9,2022,78,male,Business/Work,Friend/Family,Public Transportation,False,0
American Airlines,IZT,TLC,24,3,2021,17,male,Business/Work,Short-term homestay,,True,239
Alaska,LAX,JFK,11,9,2015,48,female,On vacation/Pleasure,Hotel,Own car,False,0
Viva Aerobus,PVR,SJC,21,4,2014,74,male,Back Home,Home,Car rental,False,0
Aeromar,IZT,DEN,7,8,2022,43,unspecified,Business/Work,Short-term homestay,,True,708
Volaris,PDX,LAX,12,5,2013,72,female,On vacation/Pleasure,Short-term homestay,,True,452
Viva Aerobus,GDL,IZT,20,5,2015,83,undisclosed,Business/Work,Home,,True,204
Viva Aerobus,PVR,GDL,24,11,2015,71,undisclosed,Business/Work,Friend/Family,Car rental,False,0
Alaska,TLC,SJC,7,1,2018,72,unspecified,Business/Work,Home,Own car,False,0
Volaris,PVR,LAX,17,6,2019,87,undisclosed,Back Home,Home,Pickup,False,0
Viva Aerobus,LAX,TPQ,15,1,2022,17,male,Back Home,Home,,False,0
Delta Airlines,IZT,TLC,2,7,2018,62,undisclosed,Back Home,Home,,False,0
American Airlines,GDL,LAX,16,9,2013,10,undisclosed,Business/Work,Short-term homestay,Own car,False,0
Aeromar,TLC,MTY,30,1,2018,5,male,Back Home,Home,,False,0
Aeromexico,TLC,PDX,23,11,2022,15,unspecified,Back Home,Home,Pickup,False,0
Aeromar,IZT,MTY,11,3,2016,77,female,Back Home,Home,,False,0
Volaris,TPQ,SJC,15,4,2021,28,female,On vacation/Pleasure,Home,Public Transportation,False,0
Delta Airlines,TLC,IZT,10,9,2022,43,male,Business/Work,Home,Public Transportation,False,0
American Airlines,DEN,GDL,1,5,2020,50,unspecified,On vacation/Pleasure,Home,Airport cab,False,0
American Airlines,MTY,LAX,16,8,2021,76,undisclosed,On vacation/Pleasure,Home,,True,48
American Airlines,LAX,DEN,1,7,2021,83,unspecified,Business/Work,Hotel,Public Transportation,False,0
Aeromar,TPQ,PVR,9,5,2019,66,unspecified,Back Home,Home,,False,0
Delta Airlines,GDL,TLC,3,2,2022,25,male,On vacation/Pleasure,Friend/Family,Public Transportation,False,0
Delta Airlines,TPQ,LAX,22,1,2020,6,male,Business/Work,Home,Own car,False,0
Aeromar,DEN,JFK,25,2,2022,49,unspecified,Business/Work,Hotel,,True,37
Alaska,PDX,PVR,24,9,2017,50,female,Back Home,Home,,False,0
Delta Airlines,IZT,LAX,4,7,2021,87,female,Back Home,Home,Own car,False,0
Aeromexico,IZT,JFK,26,3,2015,13,male,Business/Work,Home,Public Transportation,False,0
Aeromar,SJC,TLC,1,8,2013,33,female,Business/Work,Short-term homestay,Pickup,False,0
Viva Aerobus,PDX,GDL,3,1,2013,81,unspecified,Business/Work,Friend/Family,Car rental,False,0
Aeromar,DEN,GDL,21,1,2019,32,unspecified,Back Home,Home,Public Transportation,False,0
Volaris,SJC,IZT,20,8,2019,65,female,Back Home,Home,Pickup,False,0
Volaris,IZT,TPQ,27,5,2022,42,male,Back Home,Home,Airport cab,False,0
Delta Airlines,TPQ,LAX,21,5,2020,66,unspecified,Back Home,Home,,False,0
Alaska,GDL,SJC,13,5,2015,83,unspecified,Back Home,Home,Airport cab,False,0
Viva Aerobus,LAX,TLC,29,4,2013,63,unspecified,On vacation/Pleasure,Short-term homestay,,True,202
Aeromar,LAX,PVR,3,10,2018,55,undisclosed,Back Home,Home,,False,0
Volaris,TLC,JFK,14,7,2014,55,undisclosed,Business/Work,Friend/Family,Own car,False,0
American Airlines,JFK,TPQ,31,10,2018,88,undisclosed,Back Home,Home,Public Transportation,False,0
Viva Aerobus,IZT,JFK,16,2,2020,70,undisclosed,On vacation/Pleasure,Short-term homestay,,True,452
Aeromexico,DEN,IZT,26,2,2020,30,undisclosed,Back Home,Home,,False,0
Volaris,TPQ,DEN,30,10,2016,66,undisclosed,Business/Work,Friend/Family,,True,458
Volaris,GDL,MTY,27,8,2020,84,male,On vacation/Pleasure,Hotel,Public Transportation,False,0
American Airlines,PVR,DEN,4,12,2020,26,female,Back Home,Home,,False,0
Alaska,LAX,GDL,13,2,2018,90,unspecified,Business/Work,Friend/Family,Pickup,False,0
American Airlines,IZT,SJC,1,10,2021,25,male,Back Home,Home,Public Transportation,False,0
Aeromexico,MTY,JFK,8,11,2019,9,male,Business/Work,Hotel,Own car,False,0
Aeromar,MTY,PVR,5,6,2017,76,unspecified,Back Home,Home,,False,0
Aeromexico,DEN,MTY,6,5,2013,2,undisclosed,On vacation/Pleasure,Friend/Family,Mobility as a service,False,0
Aeromexico,TLC,LAX,28,11,2020,87,unspecified,Business/Work,Friend/Family,,True,675
Viva Aerobus,TPQ,JFK,16,2,2023,25,unspecified,Back Home,Home,,False,0
Lufthansa,LAX,JFK,24,11,2022,60,male,On vacation/Pleasure,Home,Mobility as a service,False,0
American Airlines,PDX,TLC,19,2,2017,28,unspecified,Back Home,Home,Mobility as a service,False,0
Volaris,TLC,IZT,24,4,2016,83,female,Business/Work,Friend/Family,,True,677
Aeromar,IZT,SJC,4,5,2017,86,female,On vacation/Pleasure,Friend/Family,,True,366
Aeromar,PVR,SJC,16,11,2022,11,male,Back Home,Home,Car rental,False,0
